#POSX POSY POSZ VELX VELY VELZ ID MASS U RHO HSML 
-0.055041 -0.157581 -0.055041 0.0353469 0.019295 0.0353469 448 0.000679348 1.10265 4.89141 0.118946 
-0.0899173 -0.1983 -0.00156579 0.0106933 0.0121588 -0.00904191 598 0.000679348 0.78494 3.30639 0.13536 
-0.103189 -0.169515 -0.100589 0.22223 0.0316161 -0.0891334 317 0.000679348 0.76908 3.13968 0.137359 
-0.100589 -0.169515 -0.103189 -0.0891334 0.0316161 0.22223 458 0.000679348 0.76908 3.13968 0.137359 
-0.0745452 -0.248152 -0.069565 -0.0913082 -0.0297013 0.147882 306 0.000679348 0.748853 2.08007 0.157365 
-0.0288744 -0.276217 -0.0288744 0.00838847 -0.00913792 0.00838847 590 0.000679348 0.688621 1.85861 0.164233 
-0.069565 -0.248152 -0.0745452 0.147882 -0.0297013 -0.0913082 447 0.000679348 0.748853 2.08007 0.157365 
-0.00240296 -0.229512 -0.154558 0.17009 -0.00384247 0.0592057 307 0.000679348 0.65461 1.97208 0.160226 
-0.00308672 -0.251993 -0.250908 0.12182 0.07658 0.0772521 191 0.000679348 0.490278 1.06902 0.197304 
-0.00439746 -0.155232 -0.228828 -0.0571412 0.0592272 -0.0019307 104 0.000679348 0.657868 1.99169 0.160003 
-0.0733477 -0.185001 -0.185439 0.0669108 0.0366645 0.0376065 190 0.000679348 0.696925 1.87878 0.162279 
-0.0768572 -0.184597 -0.284344 -0.00663673 0.0278665 0.0381847 93 0.000679348 0.574194 1.07684 0.196069 
-0.122537 -0.259084 -0.257947 0.00954445 0.0970104 0.104946 189 0.000679348 0.437612 0.765388 0.219415 
-0.0774273 -0.285318 -0.185423 -0.00897255 0.0381059 0.0285556 181 0.000679348 0.569084 1.05799 0.197203 
-0.147471 -0.218947 -0.147471 0.0207214 -0.12959 0.0207214 439 0.000679348 0.669581 1.57342 0.17246 
-0.148429 -0.148653 -0.225579 0.0566917 0.0578489 0.131597 41 0.000679348 0.646225 1.49969 0.176391 
-0.145989 -0.146028 -0.216041 0.0566518 0.0581856 0.0521932 200 0.000679348 0.584606 1.64181 0.171115 
-0.147176 -0.214851 -0.147176 0.0837936 0.324412 0.0837936 316 0.000679348 0.583202 1.62864 0.171824 
-0.216041 -0.146028 -0.145989 0.0521932 0.0581856 0.0566518 327 0.000679348 0.584606 1.64181 0.171115 
-0.225579 -0.148653 -0.148429 0.131597 0.0578489 0.0566917 480 0.000679348 0.646225 1.49969 0.176391 
-0.28007 -0.222331 -0.221681 0.00620783 -0.00490054 0.00177642 326 0.000679348 0.433415 0.610843 0.2363 
-0.221681 -0.222331 -0.28007 0.00177642 -0.00490054 0.00620783 101 0.000679348 0.433415 0.610843 0.2363 
-0.223958 -0.274767 -0.223958 -0.00580252 0.0285039 -0.00580252 305 0.000679348 0.435338 0.614756 0.235978 
-0.257947 -0.259084 -0.122537 0.104946 0.0970104 0.00954445 315 0.000679348 0.437612 0.765388 0.219415 
-0.250908 -0.251993 -0.00308672 0.0772521 0.07658 0.12182 607 0.000679348 0.490278 1.06902 0.197304 
-0.154558 -0.229512 -0.00240296 0.0592057 -0.00384247 0.17009 597 0.000679348 0.65461 1.97208 0.160226 
-0.185423 -0.285318 -0.0774273 0.0285556 0.0381059 -0.00897255 446 0.000679348 0.569084 1.05799 0.197203 
-0.185439 -0.185001 -0.0733477 0.0376065 0.0366645 0.0669108 457 0.000679348 0.696925 1.87878 0.162279 
-0.228828 -0.155232 -0.00439746 -0.0019307 0.0592272 -0.0571412 775 0.000679348 0.657868 1.99169 0.160003 
-0.284344 -0.184597 -0.0768572 0.0381847 0.0278665 -0.00663673 456 0.000679348 0.574194 1.07684 0.196069 
-0.24633 -0.0746956 -0.068251 -0.0224806 0.0409432 0.0149678 468 0.000679348 0.758581 2.11961 0.15644 
-0.199001 -0.0893907 -0.00151634 0.0109022 0.0151307 -0.0109284 633 0.000679348 0.787268 3.31991 0.135211 
-0.170547 -0.100589 -0.105069 0.0309935 0.216968 -0.0976999 469 0.000679348 0.762441 3.1048 0.137737 
-0.17052 -0.103444 -0.10219 0.0350921 -0.0982761 0.222306 339 0.000679348 0.76229 3.10538 0.137751 
-0.198706 -0.00151257 -0.08866 0.0111344 -0.0106909 0.0151642 495 0.000679348 0.788584 3.32833 0.135051 
-0.157321 -0.0559658 -0.0554838 0.0195342 0.0299164 0.0285179 481 0.000679348 1.10412 4.90249 0.118872 
-0.156793 -0.0553097 -0.0548369 0.00325394 0.0446423 0.0424631 482 0.000679348 0.847001 4.95497 0.118025 
-0.192493 -0.0192168 -0.0187214 -0.00407999 0.0139198 0.0116031 647 0.000679348 0.817181 4.20056 0.12505 
-0.281541 -0.0282774 -0.027157 -0.0172602 0.00230722 0.0110655 646 0.000679348 0.671252 1.79283 0.166173 
-0.246305 -0.0684091 -0.0744262 -0.0225542 0.0181131 0.0389973 338 0.000679348 0.758544 2.11985 0.156435 
-0.228984 -0.00239609 -0.154261 -0.00311334 0.135829 0.0604457 351 0.000679348 0.659644 1.99634 0.160595 
-0.185968 -0.0738815 -0.185968 0.0425266 0.0651149 0.0425266 211 0.000679348 0.694994 1.86939 0.162392 
-0.284244 -0.0768994 -0.184448 0.0411442 -0.00403926 0.0299983 210 0.000679348 0.575144 1.07884 0.19593 
-0.258945 -0.122846 -0.258945 0.100489 0.00908436 0.100489 199 0.000679348 0.437912 0.767845 0.21941 
-0.184448 -0.0768994 -0.284244 0.0299983 -0.00403926 0.0411442 110 0.000679348 0.575144 1.07884 0.19593 
-0.154261 -0.00239609 -0.228984 0.0604457 0.135829 -0.00311334 121 0.000679348 0.659644 1.99634 0.160595 
